Function Name,Cyclomatic Complexity,First Line,Function Length (lines)
drv_attribute_open_recover,1,"int drv_attribute_open_recover(int p,char *suri,char *sname) {return p;}",1
main,7,int main(),38
foo816,1,void foo816() {},1
void,1,static inline void,5
k2_angle_difference_degreesf,3,"static inline float k2_angle_difference_degreesf(float a, float b) {",8
niggli_get_major_version,1,int niggli_get_major_version(void),4
argCleanup,1,void argCleanup( void ),6
findPeakElement,3,"int findPeakElement(int* nums, int numsSize)",10
per_circle,1,float per_circle(float aktin),4
shl_array_pow2,3,static inline size_t shl_array_pow2(size_t v),14
mysubmodule_destroy,1,void mysubmodule_destroy(),7
calX1Bound,1,"double calX1Bound(double high[], double low[], double x[]) {",3
LIB_Utils_DownCase,3,unsigned char LIB_Utils_DownCase(unsigned char ubyCh),7
get_grid_point_single_mesh,1,"static int get_grid_point_single_mesh(const int address[3],",9
convert_bin2int,2,int convert_bin2int(int * bin_arr) {,9
Unknown,1,void,4
nrf91_errata_16,1,static bool nrf91_errata_16(void),6
double,1,static inline double,5
foo796,1,void foo796(int p) {},1
langEnumControlsJoy2Button,1,"char* langEnumControlsJoy2Button() { return ""2-button Joystick""; }",1
beep,1,"inline void beep(unsigned int freq, unsigned int duration, unsigned int unk){}",1
start_connection_monitor,1,int start_connection_monitor(void) {,4
,1,"int band (int a, int b) {",3
int,1,static inline int,9
buttonignition1,1,void buttonignition1(),4
,1,static inline void SCB_DisableDCache (void),4
strlen,2,int strlen(const char *str){,7
factorial_recursive,2,unsigned long factorial_recursive(int num),6
,1,void INT_MD (void) { },1
next_index,1,static int next_index(void),6
log10,1,double log10(double x) {,4
foo712,1,void foo712() {},1
__attribute__,1,inline void __attribute__((dllimport)) inlineFunc2() {},1
fork,1,"static inline int fork() { int retval; __asm__ (""int $0x80      \n\t"" ""mov %%eax, %0"":""=m""(retval):""a""(2):""memory""); return retval; }",1
*itop,1,static inline void *itop(intptr_t i) { return (void *)i; },1
FIELD_OFFSET,1,static inline short FIELD_OFFSET(int i) { return i & 0xFFFF; },1
,3,"int collatzLengthRec ( int n, int l )",9
Unknown,1,void,4
siTieneConflictoEnCuadradoEsEnLaMismaColumna,4,"int siTieneConflictoEnCuadradoEsEnLaMismaColumna(int posicionConflictoEnCuadrado[], int jj){",13
*ourBaseName,2,char *ourBaseName(char *name),7
RemoveThread,1,void RemoveThread(int threadid),3
__attribute__,1,static __inline void __attribute__((__always_inline__)),5
dfym_fun,1,int dfym_fun() {,3
foo247,1,void foo247() {},1
Unknown,3,void,17
delay_us,2,void delay_us(unsigned short ns),8
label_socket_set,1,int label_socket_set(const char *label) {,4
stress_dir_flock,1,static inline void stress_dir_flock(const int dir_fd),6
count_linefeeds,3,"static size_t count_linefeeds(const char *buf, size_t len) {",9
has5,5,char has5(int n){,15
GetPercentage,1,"inline float GetPercentage(float startVal, float endVal, float middleVal)",4
int_shifts_are_arithmetic,1,int int_shifts_are_arithmetic(),6
*,1,void *,5
__attribute__,4,"__attribute__((noinline, noclone)) short foo3 (short arg){ short ret = -1; if (arg + 1 < ((!0) ? -(1 << (sizeof (short) * 8 - 1)) : 0) + 1 || arg + 1 > 100) return ret; arg = arg + -1; ret = (char)arg; return arg; }",1
long,17,static long,77
defcmp,2,"static int defcmp(const char *s1, const char *s2)",7
,9,int nt2int (char nt){,12
inc_zcache_pageframes_freed,1,static inline void inc_zcache_pageframes_freed(void) { },1
*,12,static const unsigned char *,16
SubOscillatorOff,1,void SubOscillatorOff(void),3
uclose,1,void uclose(int fid),4
ft_isspace,4,int ft_isspace(int c),7
do_830,1,int do_830() { return 830; },1
foo036,1,void foo036(int p) {},1
fibo3,5,int fibo3(int n){,19
ft_strcmp,4,"int ft_strcmp(const char *s1, const char *s2)",9
*test3,1,"const char *test3(void) { return ""hi there""; }",1
mtrace_magic,1,"static inline void mtrace_magic(unsigned long ax, unsigned long bx,",10
Unknown,1,int,4
